ProjectState,ProjectCountyName,NewCounties,STATE | COUNTY,CountyFIPS
AE,APO,,,
AK,ALEUTIANS EAST,Aleutians East Borough,AK | ALEUTIANS EAST BOROUGH,02013
AK,ALEUTIANS WEST,Aleutians West Census Area,AK | ALEUTIANS WEST CENSUS AREA,02016
AK,ANCHORAGE,Anchorage Municipality,AK | ANCHORAGE MUNICIPALITY,02020
AK,Aleutian Islands,Aleutians East Borough,AK | ALEUTIANS EAST BOROUGH,02013
AK,BETHEL,Bethel Census Area,AK | BETHEL CENSUS AREA,02050
AK,BRISTOL BAY,Bristol Bay Borough,AK | BRISTOL BAY BOROUGH,02060
AK,Chugach,Chugach Census Area,AK | CHUGACH CENSUS AREA,02063
AK,Copper River,Copper River Census Area,AK | COPPER RIVER CENSUS AREA,02066
AK,DENALI,Denali Borough,AK | DENALI BOROUGH,02068
AK,DILLINGHAM,Dillingham Census Area,AK | DILLINGHAM CENSUS AREA,02070
AK,FAIRBANKS NORTH STAR,Fairbanks North Star Borough,AK | FAIRBANKS NORTH STAR BOROUGH,02090
AK,HAINES,Haines Borough,AK | HAINES BOROUGH,02100
AK,HOONAH ANGOON,Hoonah-Angoon Census Area,AK | HOONAH-ANGOON CENSUS AREA,02105
AK,JUNEAU,Juneau City and Borough,AK | JUNEAU CITY AND BOROUGH,02110
AK,KENAI PENINSULA,Kenai Peninsula Borough,AK | KENAI PENINSULA BOROUGH,02122
AK,KETCHIKAN GATEWAY,Ketchikan Gateway Borough,AK | KETCHIKAN GATEWAY BOROUGH,02130
AK,KODIAK ISLAND,Kodiak Island Borough,AK | KODIAK ISLAND BOROUGH,02150
AK,Kusilvak,Kusilvak Census Area,AK | KUSILVAK CENSUS AREA,02158
AK,LAKE AND PENINSULA,Lake and Peninsula Borough,AK | LAKE AND PENINSULA BOROUGH,02164
AK,MATANUSKA SUSITNA,Matanuska-Susitna Borough,AK | MATANUSKA-SUSITNA BOROUGH,02170
AK,NOME,Nome Census Area,AK | NOME CENSUS AREA,02180
AK,NORTH SLOPE,North Slope Borough,AK | NORTH SLOPE BOROUGH,02185
AK,NORTHWEST ARCTIC,Northwest Arctic Borough,AK | NORTHWEST ARCTIC BOROUGH,02188
AK,PETERSBURG,Petersburg Borough,AK | PETERSBURG BOROUGH,02195
AK,PRINCE OF WALES HYDER,Prince of Wales-Hyder Census Area,AK | PRINCE OF WALES-HYDER CENSUS AREA,02198
AK,SITKA,Sitka City and Borough,AK | SITKA CITY AND BOROUGH,02220
AK,SKAGWAY,Skagway Municipality,AK | SKAGWAY MUNICIPALITY,02230
AK,SOUTHEAST FAIRBANKS,Southeast Fairbanks Census Area,AK | SOUTHEAST FAIRBANKS CENSUS AREA,02240
AK,WRANGELL,Wrangell City and Borough,AK | WRANGELL CITY AND BOROUGH,02275
AK,YAKUTAT,Yakutat City and Borough,AK | YAKUTAT CITY AND BOROUGH,02282
AK,YUKON KOYUKUK,Yukon-Koyukuk Census Area,AK | YUKON-KOYUKUK CENSUS AREA,02290
AL,AUTAUGA,Autauga,AL | AUTAUGA,01001
AL,BALDWIN,Baldwin,AL | BALDWIN,01003
AL,BARBOUR,Barbour,AL | BARBOUR,01005
AL,BIBB,Bibb,AL | BIBB,01007
AL,BLOUNT,Blount,AL | BLOUNT,01009
AL,BULLOCK,Bullock,AL | BULLOCK,01011
AL,BUTLER,Butler,AL | BUTLER,01013
AL,CALHOUN,Calhoun,AL | CALHOUN,01015
AL,CHAMBERS,Chambers,AL | CHAMBERS,01017
AL,CHEROKEE,Cherokee,AL | CHEROKEE,01019
AL,CHILTON,Chilton,AL | CHILTON,01021
AL,CHOCTAW,Choctaw,AL | CHOCTAW,01023
AL,CLARKE,Clarke,AL | CLARKE,01025
AL,CLAY,Clay,AL | CLAY,01027
AL,CLEBURNE,Cleburne,AL | CLEBURNE,01029
AL,COFFEE,Coffee,AL | COFFEE,01031
AL,COLBERT,Colbert,AL | COLBERT,01033
AL,CONECUH,Conecuh,AL | CONECUH,01035
AL,COOSA,Coosa,AL | COOSA,01037
AL,COVINGTON,Covington,AL | COVINGTON,01039
AL,CRENSHAW,Crenshaw,AL | CRENSHAW,01041
